23:03:28 rearm-rebom-backend-768fd58455-46nwc   23m     123Mi    
23:03:28 rearm-rebom-backend-768fd58455-dp9ps   11m     122Mi    
23:03:28 rearm-rebom-backend-768fd58455-tmqdc   14m     117Mi    
23:03:28 rearm-rebom-backend-768fd58455-vkfb5   16m     136Mi    
23:03:28 rearm-rebom-postgres-0                 129m    173Mi    
23:03:28 rearm-ui-5c9b8ddf9d-krkqk              4m      3Mi      
23:03:28 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:03:28 zottest-ff7cfd65c-xbgvk                3786m   157Mi    
23:03:59 rearm-backend-6d79d5dcc8-rj9w4         75m     3214Mi   
23:03:59 rearm-keycloak-0                       2m      723Mi    
23:03:59 rearm-keycloak-postgres-0              1m      33Mi     
23:03:59 rearm-oci-artifact-5c8686f45c-mmxzz    123m    63Mi     
23:03:59 rearm-postgresql-0                     88m     327Mi    
23:03:59 rearm-rebom-backend-768fd58455-46nwc   15m     123Mi    
23:03:59 rearm-rebom-backend-768fd58455-dp9ps   30m     117Mi    
23:03:59 rearm-rebom-backend-768fd58455-tmqdc   8m      116Mi    
23:03:59 rearm-rebom-backend-768fd58455-vkfb5   14m     80Mi     
23:03:59 rearm-rebom-postgres-0                 128m    173Mi    
23:03:59 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:03:59 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:03:59 zottest-ff7cfd65c-xbgvk                3782m   202Mi    
23:04:29 rearm-backend-6d79d5dcc8-rj9w4         70m     3216Mi   
23:04:29 rearm-keycloak-0                       2m      723Mi    
23:04:29 rearm-keycloak-postgres-0              1m      33Mi     
23:04:29 rearm-oci-artifact-5c8686f45c-mmxzz    123m    70Mi     
23:04:29 rearm-postgresql-0                     107m    324Mi    
23:04:29 rearm-rebom-backend-768fd58455-46nwc   17m     124Mi    
23:04:29 rearm-rebom-backend-768fd58455-dp9ps   27m     116Mi    
23:04:29 rearm-rebom-backend-768fd58455-tmqdc   12m     116Mi    
23:04:29 rearm-rebom-backend-768fd58455-vkfb5   16m     96Mi     
23:04:29 rearm-rebom-postgres-0                 128m    173Mi    
23:04:29 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:04:29 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:04:29 zottest-ff7cfd65c-xbgvk                3854m   171Mi    
23:05:00 rearm-backend-6d79d5dcc8-rj9w4         67m     3125Mi   
23:05:00 rearm-keycloak-0                       2m      723Mi    
23:05:00 rearm-keycloak-postgres-0              1m      33Mi     
23:05:00 rearm-oci-artifact-5c8686f45c-mmxzz    121m    64Mi     
23:05:00 rearm-postgresql-0                     99m     325Mi    
23:05:00 rearm-rebom-backend-768fd58455-46nwc   10m     128Mi    
23:05:00 rearm-rebom-backend-768fd58455-dp9ps   22m     121Mi    
23:05:00 rearm-rebom-backend-768fd58455-tmqdc   8m      118Mi    
23:05:00 rearm-rebom-backend-768fd58455-vkfb5   20m     108Mi    
23:05:00 rearm-rebom-postgres-0                 131m    171Mi    
23:05:00 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:05:00 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:05:00 zottest-ff7cfd65c-xbgvk                3853m   179Mi    
23:05:31 rearm-backend-6d79d5dcc8-rj9w4         81m     2946Mi   
23:05:31 rearm-keycloak-0                       2m      723Mi    
23:05:31 rearm-keycloak-postgres-0              1m      33Mi     
23:05:31 rearm-oci-artifact-5c8686f45c-mmxzz    119m    68Mi     
23:05:31 rearm-postgresql-0                     106m    324Mi    
23:05:31 rearm-rebom-backend-768fd58455-46nwc   10m     128Mi    
23:05:31 rearm-rebom-backend-768fd58455-dp9ps   23m     121Mi    
23:05:31 rearm-rebom-backend-768fd58455-tmqdc   8m      115Mi    
23:05:31 rearm-rebom-backend-768fd58455-vkfb5   21m     134Mi    
23:05:31 rearm-rebom-postgres-0                 126m    174Mi    
23:05:31 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:05:31 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:05:31 zottest-ff7cfd65c-xbgvk                3856m   181Mi    
23:06:02 rearm-backend-6d79d5dcc8-rj9w4         90m     2854Mi   
23:06:02 rearm-keycloak-0                       2m      723Mi    
23:06:02 rearm-keycloak-postgres-0              1m      33Mi     
23:06:02 rearm-oci-artifact-5c8686f45c-mmxzz    114m    66Mi     
23:06:02 rearm-postgresql-0                     104m    327Mi    
23:06:02 rearm-rebom-backend-768fd58455-46nwc   10m     126Mi    
23:06:02 rearm-rebom-backend-768fd58455-dp9ps   24m     118Mi    
23:06:02 rearm-rebom-backend-768fd58455-tmqdc   12m     112Mi    
23:06:02 rearm-rebom-backend-768fd58455-vkfb5   17m     136Mi    
23:06:02 rearm-rebom-postgres-0                 120m    173Mi    
23:06:02 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:06:02 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:06:02 zottest-ff7cfd65c-xbgvk                3862m   174Mi    
23:06:33 rearm-backend-6d79d5dcc8-rj9w4         73m     2766Mi   
23:06:33 rearm-keycloak-0                       2m      723Mi    
23:06:33 rearm-keycloak-postgres-0              1m      33Mi     
23:06:33 rearm-oci-artifact-5c8686f45c-mmxzz    109m    65Mi     
23:06:33 rearm-postgresql-0                     109m    321Mi    
23:06:33 rearm-rebom-backend-768fd58455-46nwc   16m     124Mi    
23:06:33 rearm-rebom-backend-768fd58455-dp9ps   23m     122Mi    
23:06:33 rearm-rebom-backend-768fd58455-tmqdc   7m      115Mi    
23:06:33 rearm-rebom-backend-768fd58455-vkfb5   16m     135Mi    
23:06:33 rearm-rebom-postgres-0                 119m    173Mi    
23:06:33 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:06:33 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:06:33 zottest-ff7cfd65c-xbgvk                3887m   174Mi    
23:07:03 rearm-backend-6d79d5dcc8-rj9w4         66m     2677Mi   
23:07:03 rearm-keycloak-0                       2m      723Mi    
23:07:03 rearm-keycloak-postgres-0              1m      33Mi     
23:07:03 rearm-oci-artifact-5c8686f45c-mmxzz    107m    71Mi     
23:07:03 rearm-postgresql-0                     113m    324Mi    
23:07:03 rearm-rebom-backend-768fd58455-46nwc   9m      129Mi    
23:07:03 rearm-rebom-backend-768fd58455-dp9ps   22m     118Mi    
23:07:03 rearm-rebom-backend-768fd58455-tmqdc   9m      115Mi    
23:07:03 rearm-rebom-backend-768fd58455-vkfb5   16m     137Mi    
23:07:03 rearm-rebom-postgres-0                 120m    173Mi    
23:07:03 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:07:03 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:07:03 zottest-ff7cfd65c-xbgvk                3889m   205Mi    
23:07:34 rearm-backend-6d79d5dcc8-rj9w4         97m     2585Mi   
23:07:34 rearm-keycloak-0                       2m      723Mi    
23:07:34 rearm-keycloak-postgres-0              1m      33Mi     
23:07:34 rearm-oci-artifact-5c8686f45c-mmxzz    106m    62Mi     
23:07:34 rearm-postgresql-0                     118m    325Mi    
23:07:34 rearm-rebom-backend-768fd58455-46nwc   13m     122Mi    
23:07:34 rearm-rebom-backend-768fd58455-dp9ps   18m     122Mi    
23:07:34 rearm-rebom-backend-768fd58455-tmqdc   7m      116Mi    
23:07:34 rearm-rebom-backend-768fd58455-vkfb5   19m     132Mi    
23:07:34 rearm-rebom-postgres-0                 118m    173Mi    
23:07:34 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:07:34 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:07:34 zottest-ff7cfd65c-xbgvk                3989m   189Mi    
23:08:05 rearm-backend-6d79d5dcc8-rj9w4         76m     2504Mi   
23:08:05 rearm-keycloak-0                       3m      723Mi    
23:08:05 rearm-keycloak-postgres-0              1m      33Mi     
23:08:05 rearm-oci-artifact-5c8686f45c-mmxzz    100m    68Mi     
23:08:05 rearm-postgresql-0                     94m     327Mi    
23:08:05 rearm-rebom-backend-768fd58455-46nwc   9m      127Mi    
23:08:05 rearm-rebom-backend-768fd58455-dp9ps   22m     122Mi    
23:08:05 rearm-rebom-backend-768fd58455-tmqdc   7m      115Mi    
23:08:05 rearm-rebom-backend-768fd58455-vkfb5   14m     135Mi    
23:08:05 rearm-rebom-postgres-0                 115m    171Mi    
23:08:05 rearm-ui-5c9b8ddf9d-krkqk              13m     3Mi      
23:08:05 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:08:05 zottest-ff7cfd65c-xbgvk                3903m   209Mi    
23:08:36 rearm-backend-6d79d5dcc8-rj9w4         71m     2502Mi   
23:08:36 rearm-keycloak-0                       2m      723Mi    
23:08:36 rearm-keycloak-postgres-0              1m      33Mi     
23:08:36 rearm-oci-artifact-5c8686f45c-mmxzz    97m     72Mi     
23:08:36 rearm-postgresql-0                     107m    329Mi    
23:08:36 rearm-rebom-backend-768fd58455-46nwc   10m     126Mi    
23:08:36 rearm-rebom-backend-768fd58455-dp9ps   18m     117Mi    
23:08:36 rearm-rebom-backend-768fd58455-tmqdc   9m      114Mi    
23:08:36 rearm-rebom-backend-768fd58455-vkfb5   17m     137Mi    
23:08:36 rearm-rebom-postgres-0                 111m    173Mi    
23:08:36 rearm-ui-5c9b8ddf9d-krkqk              3m      4Mi      
23:08:36 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:08:36 zottest-ff7cfd65c-xbgvk                3898m   183Mi    
