ts,releases,queued,failed,sbom_components,backend_cpu_m,backend_mem_mi,registry_cpu_m
07:55:03,20016,2616,0,20231,55,6476,74
07:56:04,20016,2566,0,20281,41,6476,178
07:57:05,20016,2516,0,20333,7,6476,241
07:58:05,20016,2466,0,20381,47,6476,73
07:59:06,20016,2416,0,20433,44,5843,436
08:00:06,20016,2366,0,20481,1044,7494,425
08:01:07,20016,2316,0,20531,36,11350,390
08:02:07,20016,2266,0,20584,39,11350,377
08:03:08,20016,2216,0,20632,77,11351,406
08:04:09,20016,2166,0,20683,58,11350,491
08:05:09,20016,2116,0,20731,40,11350,472
08:06:10,20016,2066,0,20784,55,11350,480
08:07:10,20016,2016,0,20833,38,11350,484
08:08:11,20016,1966,0,20884,44,11350,476
08:09:11,20016,1916,0,20934,40,11350,400
08:10:12,20016,1866,0,20983,47,11350,485
08:11:13,20016,1816,0,21032,49,10356,434
08:12:13,20016,1766,0,21083,61,8548,284
08:13:14,20016,1716,0,21134,48,7012,488
08:14:14,20016,1666,0,21183,68,6510,484
08:15:15,20016,1616,0,21233,54,6510,419
08:16:16,20016,1566,0,21284,61,6510,488
08:17:16,20016,1516,0,21332,38,6510,495
08:18:17,20016,1466,0,21381,61,6510,512
08:19:17,20016,1416,0,21433,59,5967,396
08:20:18,20016,1366,0,21483,1028,7548,358
08:21:19,20016,1316,0,21532,38,11352,477
08:22:19,20016,1266,0,21583,41,11352,257
08:23:20,20016,1216,0,21635,44,11352,474
08:24:20,20016,1166,0,21681,68,11352,369
08:25:21,20016,1116,0,21730,6,11352,305
08:26:21,20016,1066,0,21782,17,11353,174
08:27:22,20016,1016,0,21833,18,11352,235
08:28:23,20016,966,0,21881,3,11352,331
08:29:23,20016,916,0,21933,22,11352,1
08:30:24,20016,866,0,21982,6,11352,34
08:31:24,20016,816,0,22034,12,9996,1
08:32:25,20016,766,0,22082,23,8189,14
08:33:25,20016,716,0,22132,10,6562,1
08:34:26,20016,666,0,22181,19,6238,104
08:35:27,20016,616,0,22234,18,6238,1
08:36:27,20016,566,0,22283,9,6238,232
08:37:28,20016,516,0,22332,16,6239,216
08:38:28,20016,466,0,22381,34,6239,59
08:39:29,20016,416,0,22431,9,5516,188
08:40:30,20016,366,0,22484,1026,10625,86
08:41:30,20016,316,0,22530,40,11356,1
08:42:31,20016,266,0,22581,53,11356,1
08:43:31,20016,216,0,22634,37,11356,154
08:44:32,20016,166,0,22683,35,11356,406
08:45:32,20016,116,0,22734,24,11356,16
08:46:33,20016,66,0,22780,21,11356,128
08:47:34,20016,16,0,22820,40,11356,107
08:48:34,20016,0,0,22819,5,11356,1
